side	eta	phi	depth	dphi	det	RBX	wedge	rm	BV/pix	card	QIE	rm_fib	fib_ch	pp col	pp row	pp coupler	pp LC	dodec	crate	uhtr	uhtr_fib	fedid	QIEid		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	RM	rm_fib	fib_ch		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	ieta	iphi	depth
1	18	63	3	1	ngHE	HEP17	17	1	28	3	7	6	0	2	1	HEP17_RM1B	2	3	34	11	14	1114	600405		4E2804C0	34	11	u	0	0	14	0	CRF	1	6	0		456E3	34	11	u	0	0	14	0	HE	18	63	3
1	28	63	4	2	ngHE	HEP17	17	1	27	3	8	6	1	2	1	HEP17_RM1B	2	3	34	11	14	1114	600405		4E2804C1	34	11	u	0	0	14	1	CRF	1	6	1		456E4	34	11	u	0	0	14	1	HE	28	63	4
1	17	63	3	1	ngHE	HEP17	17	1	12	3	9	6	2	2	1	HEP17_RM1B	2	3	34	11	14	1114	600405		4E2804C2	34	11	u	0	0	14	2	CRF	1	6	2		456E3	34	11	u	0	0	14	2	HE	17	63	3
1	18	63	5	1	ngHE	HEP17	17	1	11	3	10	6	3	2	1	HEP17_RM1B	2	3	34	11	14	1114	600405		4E2804C3	34	11	u	0	0	14	3	CRF	1	6	3		456E5	34	11	u	0	0	14	3	HE	18	63	5
1	18	63	1	1	ngHE	HEP17	17	1	1	3	11	6	4	2	1	HEP17_RM1B	2	3	34	11	14	1114	600405		4E2804C4	34	11	u	0	0	14	4	CRF	1	6	4		456E1	34	11	u	0	0	14	4	HE	18	63	1
1	18	63	4	1	ngHE	HEP17	17	1	9	3	12	6	5	2	1	HEP17_RM1B	2	3	34	11	14	1114	600405		4E2804C5	34	11	u	0	0	14	5	CRF	1	6	5		456E4	34	11	u	0	0	14	5	HE	18	63	4
1	18	64	1	1	ngHE	HEP17	17	2	8	2	7	4	0	1	2	HEP17_RM2A	4	4	34	11	15	1114	600078		4E280880	34	11	u	0	0	15	0	CRF	2	4	0		456F1	34	11	u	0	0	15	0	HE	18	64	1
1	18	64	4	1	ngHE	HEP17	17	2	16	2	8	4	1	1	2	HEP17_RM2A	4	4	34	11	15	1114	600078		4E280881	34	11	u	0	0	15	1	CRF	2	4	1		456F4	34	11	u	0	0	15	1	HE	18	64	4
1	18	64	5	1	ngHE	HEP17	17	2	14	2	9	4	2	1	2	HEP17_RM2A	4	4	34	11	15	1114	600078		4E280882	34	11	u	0	0	15	2	CRF	2	4	2		456F5	34	11	u	0	0	15	2	HE	18	64	5
1	17	64	3	1	ngHE	HEP17	17	2	13	2	10	4	3	1	2	HEP17_RM2A	4	4	34	11	15	1114	600078		4E280883	34	11	u	0	0	15	3	CRF	2	4	3		456F3	34	11	u	0	0	15	3	HE	17	64	3
