nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
806729,-28,59,1,80.69,1.70,0.002,0.3,1,-15
167924,-28,57,7,80.90,3.88,0.009,0.1,0,-17
330121,-28,57,6,80.44,2.65,0.005,0.6,1,-13
198592,-28,57,5,80.72,2.19,0.005,0.3,1,-13
89270,-28,57,4,80.40,1.92,0.006,0.6,1,-14
198996,-28,57,3,80.85,1.61,0.004,0.1,0,-13
92781,-28,57,2,80.40,2.15,0.007,0.6,1,-15
1055548,-28,57,1,80.44,1.46,0.001,0.6,1,-15
169752,-28,55,7,80.63,3.17,0.008,0.4,1,-13
111793,-28,55,6,80.75,2.65,0.008,0.3,1,-13
57873,-28,55,5,80.48,2.05,0.009,0.5,1,-14
107891,-28,55,4,80.72,1.84,0.006,0.3,1,-14
13985,-28,55,3,79.56,2.67,0.023,1.4,3,-20
11727,-28,55,2,80.01,2.37,0.022,1.0,2,-21
1231639,-28,55,1,80.69,1.82,0.002,0.3,1,-14
224850,-28,53,7,80.41,3.91,0.008,0.6,1,-17
300175,-28,53,6,80.88,2.65,0.005,0.1,0,-13
259783,-28,53,5,80.42,2.41,0.005,0.6,1,-15
129676,-28,53,4,80.56,1.99,0.006,0.4,1,-14
19247,-28,53,3,80.31,2.59,0.019,0.7,1,-21
30885,-28,53,2,79.31,2.93,0.017,1.7,3,-23
1567531,-28,53,1,80.54,1.50,0.001,0.5,1,-14
138602,-28,51,7,80.49,3.08,0.008,0.5,1,-11
258811,-28,51,6,80.78,2.51,0.005,0.2,0,-12
54926,-28,51,5,80.55,2.01,0.009,0.5,1,-13
50383,-28,51,4,80.43,1.80,0.008,0.6,1,-14
25307,-28,51,3,79.66,2.62,0.016,1.3,3,-19
17742,-28,51,2,79.53,3.06,0.023,1.5,3,-22
1034320,-28,51,1,80.49,1.74,0.002,0.5,1,-12
168366,-28,49,7,80.62,3.85,0.009,0.4,1,-16
298674,-28,49,6,80.50,2.63,0.005,0.5,1,-13
242781,-28,49,5,80.54,2.23,0.005,0.5,1,-13
215356,-28,49,4,80.85,1.92,0.004,0.1,0,-14
98044,-28,49,3,80.47,2.14,0.007,0.5,1,-14
27241,-28,49,2,80.13,2.62,0.016,0.9,2,-21
1892953,-28,49,1,80.66,1.55,0.001,0.3,1,-14
185692,-28,47,7,80.50,3.10,0.007,0.5,1,-12
69006,-28,47,6,80.53,2.65,0.010,0.5,1,-13
24472,-28,47,5,80.55,1.82,0.012,0.5,1,-12
99273,-28,47,4,80.53,1.75,0.006,0.5,1,-14
184557,-28,47,3,80.52,1.46,0.003,0.5,1,-10
197546,-28,47,2,80.49,1.16,0.003,0.5,1,-11
1882320,-28,47,1,81.10,1.81,0.001,-0.1,0,-13
147881,-28,45,7,80.63,3.88,0.010,0.4,1,-17
163241,-28,45,6,80.75,2.60,0.006,0.2,0,-13
197416,-28,45,5,80.29,2.39,0.005,0.7,1,-16
210343,-28,45,4,80.60,1.95,0.004,0.4,1,-14
22091,-28,45,3,80.25,2.41,0.016,0.8,2,-20
191420,-28,45,2,80.48,1.57,0.004,0.5,1,-13
1270326,-28,45,1,80.51,1.43,0.001,0.5,1,-14
109257,-28,43,7,80.73,3.06,0.009,0.3,1,-12
278794,-28,43,6,80.51,2.71,0.005,0.5,1,-14
296838,-28,43,5,80.30,2.10,0.004,0.7,1,-14
174884,-28,43,4,80.53,1.82,0.004,0.5,1,-14
156786,-28,43,3,80.66,1.42,0.004,0.3,1,-11
229078,-28,43,2,80.84,1.20,0.002,0.2,0,-13
1099885,-28,43,1,80.40,1.70,0.002,0.6,1,-14
215911,-28,41,7,80.68,3.81,0.008,0.3,1,-16
278500,-28,41,6,80.59,2.80,0.005,0.4,1,-14
184980,-28,41,5,80.64,2.35,0.005,0.4,1,-13
130780,-28,41,4,80.54,1.86,0.005,0.5,1,-14
130244,-28,41,3,80.73,1.52,0.004,0.3,1,-13
123961,-28,41,2,80.63,1.65,0.005,0.4,1,-14
993912,-28,41,1,80.51,1.40,0.001,0.5,1,-14
122853,-28,39,7,80.83,3.21,0.009,0.2,0,-14
167059,-28,39,6,80.61,2.61,0.006,0.4,1,-13
141578,-28,39,5,80.63,2.12,0.006,0.4,1,-13
40471,-28,39,4,80.28,1.81,0.009,0.7,1,-16
16238,-28,39,3,79.42,2.90,0.023,1.6,3,-21
106194,-28,39,2,80.50,1.44,0.004,0.5,1,-12
707673,-28,39,1,80.59,1.69,0.002,0.4,1,-14
184985,-28,37,7,80.74,3.76,0.009,0.3,1,-17
323950,-28,37,6,80.88,2.62,0.005,0.1,0,-14
364710,-28,37,5,80.66,2.20,0.004,0.3,1,-14
110188,-28,37,4,80.78,1.89,0.006,0.2,0,-16
27958,-28,37,3,80.53,2.43,0.015,0.5,1,-22
25198,-28,37,2,79.59,2.51,0.016,1.4,3,-22
1684433,-28,37,1,80.87,1.52,0.001,0.1,0,-15
125239,-28,35,7,80.65,3.11,0.009,0.4,1,-12
153922,-28,35,6,80.75,2.52,0.006,0.2,0,-14
255730,-28,35,5,80.55,2.22,0.004,0.4,1,-14
119985,-28,35,4,80.53,1.85,0.005,0.5,1,-14
127717,-28,35,3,80.88,1.49,0.004,0.1,0,-12
303352,-28,35,2,80.88,1.26,0.002,0.1,0,-13
688233,-28,35,1,80.87,1.65,0.002,0.1,0,-14
131070,-28,33,7,80.46,4.03,0.011,0.5,1,-16
204285,-28,33,6,80.37,2.63,0.006,0.6,1,-12
144047,-28,33,5,80.41,2.28,0.006,0.6,1,-12
48665,-28,33,4,80.52,1.85,0.008,0.5,1,-13
126167,-28,33,3,80.32,1.50,0.004,0.7,1,-11
269527,-28,33,2,80.84,1.22,0.002,0.2,0,-11
1240283,-28,33,1,80.89,1.41,0.001,0.1,0,-12
121775,-28,31,7,80.73,3.07,0.009,0.3,1,-10
132521,-28,31,6,80.57,2.48,0.007,0.4,1,-9
313206,-28,31,5,80.69,2.11,0.004,0.3,1,-10
160749,-28,31,4,80.53,1.86,0.005,0.5,1,-12
124966,-28,31,3,80.53,2.47,0.007,0.5,1,-11
103436,-28,31,2,80.17,1.62,0.005,0.8,2,-11
156676,-28,29,7,80.70,3.81,0.010,0.3,1,-15
334269,-28,29,6,80.36,2.63,0.005,0.6,1,-13
238381,-28,29,5,80.42,2.37,0.005,0.6,1,-14
194900,-28,29,4,80.65,1.87,0.004,0.3,1,-14
160934,-28,29,3,80.40,1.53,0.004,0.6,1,-13
365546,-28,29,2,80.82,1.23,0.002,0.2,0,-13
1167076,-28,29,1,80.80,1.32,0.001,0.2,0,-13
147613,-28,27,7,80.48,3.15,0.008,0.5,1,-12
258177,-28,27,6,80.51,2.55,0.005,0.5,1,-12
290439,-28,27,5,80.41,2.10,0.004,0.6,1,-12
172336,-28,27,4,80.76,1.84,0.004,0.2,0,-13
145922,-28,27,3,80.90,1.45,0.004,0.1,0,-11
246168,-28,27,2,80.52,1.19,0.002,0.5,1,-11
847502,-28,27,1,80.67,1.71,0.002,0.3,1,-12
170539,-28,25,7,80.48,4.00,0.010,0.5,1,-17
251025,-28,25,6,80.63,2.64,0.005,0.4,1,-12
274746,-28,25,5,80.37,2.34,0.004,0.6,1,-14
211884,-28,25,4,80.97,1.86,0.004,0.0,0,-17
89788,-28,25,3,80.43,2.26,0.008,0.6,1,-14
239846,-28,25,2,80.77,1.18,0.002,0.2,0,-13
1145756,-28,25,1,80.58,1.41,0.001,0.4,1,-14
155733,-28,23,7,80.66,3.15,0.008,0.3,1,-13
191906,-28,23,6,80.81,2.54,0.006,0.2,0,-13
291393,-28,23,5,80.55,2.09,0.004,0.5,1,-13
209566,-28,23,4,80.37,1.77,0.004,0.6,1,-13
27734,-28,23,3,79.83,2.84,0.017,1.2,2,-21
166516,-28,23,2,80.38,1.73,0.004,0.6,1,-14
1101603,-28,23,1,80.49,1.70,0.002,0.5,1,-14
139031,-28,21,7,80.83,3.49,0.009,0.2,0,-18
319837,-28,21,6,80.66,2.63,0.005,0.3,1,-15
264309,-28,21,5,80.74,2.29,0.004,0.3,1,-16
136078,-28,21,4,79.74,2.01,0.005,1.3,3,-15
185276,-28,21,3,80.72,1.59,0.004,0.3,1,-15
377987,-28,21,2,80.64,1.27,0.002,0.4,1,-15
1441301,-28,21,1,79.43,1.33,0.001,1.6,3,-14
157108,-28,19,7,79.75,3.10,0.008,1.3,3,-12
255399,-28,19,6,79.62,2.39,0.005,1.4,3,-12
289273,-28,19,5,79.48,2.05,0.004,1.5,3,-12
104348,-28,19,4,79.38,1.81,0.006,1.6,3,-14
178597,-28,19,3,79.79,1.45,0.003,1.2,2,-11
351424,-28,19,2,79.78,1.21,0.002,1.2,2,-12
1105825,-28,19,1,79.55,1.74,0.002,1.4,3,-13
203565,-28,17,7,79.51,3.62,0.008,1.5,3,-16
270927,-28,17,6,79.71,2.64,0.005,1.3,3,-13
298334,-28,17,5,79.41,2.35,0.004,1.6,3,-15
165233,-28,17,4,79.47,1.98,0.005,1.5,3,-14
183472,-28,17,3,79.63,1.55,0.004,1.4,3,-12
311732,-28,17,2,79.42,1.23,0.002,1.6,3,-13
1195677,-28,17,1,79.74,1.46,0.001,1.3,3,-13
138728,-28,15,7,79.63,3.19,0.009,1.4,3,-16
