nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
702432,22,41,1,80.90,4.47,0.005,0.1,0,-18
54860,22,41,2,80.72,2.50,0.011,0.3,1,-11
15308,22,41,3,80.61,2.53,0.020,0.4,1,-13
5359,22,41,4,80.43,2.63,0.036,0.6,1,-11
3053,22,41,5,80.52,3.06,0.055,0.5,1,-8
428,22,41,6,80.96,4.05,0.196,0.0,0,-10
623066,22,43,1,80.94,4.48,0.006,0.1,0,-20
52049,22,43,2,80.36,2.39,0.010,0.6,1,-13
18078,22,43,3,80.23,2.47,0.018,0.8,2,-13
5796,22,43,4,80.33,2.75,0.036,0.7,1,-13
2479,22,43,5,80.76,3.08,0.062,0.2,0,-10
462,22,43,6,80.32,4.85,0.226,0.7,1,-11
610024,22,45,1,80.81,4.56,0.006,0.2,0,-20
61945,22,45,2,80.29,2.54,0.010,0.7,1,-12
19402,22,45,3,80.36,2.53,0.018,0.6,1,-12
5786,22,45,4,80.55,2.82,0.037,0.4,1,-11
2718,22,45,5,80.36,2.88,0.055,0.6,1,-9
539,22,45,6,80.71,4.43,0.191,0.3,1,-12
648871,22,47,1,80.62,4.64,0.006,0.4,1,-18
47677,22,47,2,80.15,2.38,0.011,0.8,2,-11
11769,22,47,3,80.14,2.34,0.022,0.9,2,-13
5640,22,47,4,80.40,2.68,0.036,0.6,1,-10
2585,22,47,5,80.30,3.05,0.060,0.7,1,-9
400,22,47,6,79.35,4.30,0.215,1.7,3,-12
633312,22,49,1,80.64,4.42,0.006,0.4,1,-17
59035,22,49,2,80.51,2.48,0.010,0.5,1,-11
12228,22,49,3,80.52,2.56,0.023,0.5,1,-11
5647,22,49,4,80.54,2.70,0.036,0.5,1,-12
2634,22,49,5,80.23,2.93,0.057,0.8,2,-6
390,22,49,6,80.37,4.48,0.227,0.6,1,-8
643342,22,51,1,80.70,4.51,0.006,0.3,1,-17
44595,22,51,2,80.59,2.41,0.011,0.4,1,-11
15033,22,51,3,80.23,2.51,0.020,0.8,2,-12
3850,22,51,4,80.51,2.97,0.048,0.5,1,-10
1937,22,51,5,80.47,3.48,0.079,0.5,1,-9
483,22,51,6,80.26,5.30,0.241,0.7,1,-13
563199,22,53,1,80.55,4.47,0.006,0.5,1,-17
51141,22,53,2,80.68,2.50,0.011,0.3,1,-10
23320,22,53,3,79.22,2.57,0.017,1.8,4,-12
7183,22,53,4,80.32,2.70,0.032,0.7,1,-10
2421,22,53,5,80.23,3.03,0.062,0.8,2,-7
413,22,53,6,80.90,4.85,0.239,0.1,0,-9
729022,22,55,1,80.49,4.71,0.006,0.5,1,-18
61184,22,55,2,80.21,2.45,0.010,0.8,2,-11
17580,22,55,3,80.11,2.44,0.018,0.9,2,-13
5678,22,55,4,80.36,2.67,0.035,0.6,1,-10
2901,22,55,5,79.86,3.14,0.058,1.1,2,-10
490,22,55,6,80.16,5.59,0.252,0.8,2,-13
174535,22,57,1,80.17,3.69,0.009,0.8,2,-14
41964,22,57,2,80.49,2.42,0.012,0.5,1,-9
14191,22,57,3,80.43,2.46,0.021,0.6,1,-10
5589,22,57,4,80.52,2.61,0.035,0.5,1,-8
2348,22,57,5,80.26,3.00,0.062,0.7,1,-7
438,22,57,6,80.58,3.91,0.187,0.4,1,-8
621417,22,59,1,80.89,4.58,0.006,0.1,0,-20
59980,22,59,2,80.36,2.43,0.010,0.6,1,-13
18342,22,59,3,80.42,2.58,0.019,0.6,1,-15
4570,22,59,4,80.11,2.56,0.038,0.9,2,-10
2305,22,59,5,80.34,2.83,0.059,0.7,1,-10
423,22,59,6,80.35,5.17,0.251,0.6,1,-15
535111,22,61,1,80.94,4.26,0.006,0.1,0,-17
57362,22,61,2,80.18,2.45,0.010,0.8,2,-11
15154,22,61,3,80.32,2.58,0.021,0.7,1,-12
6300,22,61,4,80.65,2.59,0.033,0.3,1,-11
2719,22,61,5,80.47,3.15,0.060,0.5,1,-9
455,22,61,6,80.50,4.82,0.226,0.5,1,-9
577721,22,63,1,80.96,4.42,0.006,0.0,0,-19
61451,22,63,2,80.31,2.51,0.010,0.7,1,-14
15442,22,63,3,80.40,2.49,0.020,0.6,1,-14
5007,22,63,4,80.36,2.87,0.041,0.6,1,-13
3075,22,63,5,80.29,2.87,0.052,0.7,1,-11
401,22,63,6,79.95,4.92,0.246,1.0,2,-12
524306,22,65,1,80.59,4.35,0.006,0.4,1,-18
60522,22,65,2,80.18,2.51,0.010,0.8,2,-12
21819,22,65,3,80.47,2.63,0.018,0.5,1,-13
5927,22,65,4,80.52,2.74,0.036,0.5,1,-13
2679,22,65,5,80.65,3.17,0.061,0.3,1,-9
512,22,65,6,80.10,4.76,0.210,0.9,2,-11
665452,22,67,1,80.84,4.60,0.006,0.2,0,-21
51340,22,67,2,80.30,2.46,0.011,0.7,1,-13
13482,22,67,3,80.26,2.38,0.021,0.7,1,-15
3836,22,67,4,80.34,2.64,0.043,0.7,1,-12
1827,22,67,5,80.29,2.93,0.069,0.7,1,-9
511,22,67,6,80.52,6.12,0.271,0.5,1,-13
581691,22,69,1,80.80,4.33,0.006,0.2,0,-18
45805,22,69,2,80.48,2.46,0.011,0.5,1,-12
12183,22,69,3,80.34,2.43,0.022,0.7,1,-12
6234,22,69,4,80.17,2.63,0.033,0.8,2,-11
2253,22,69,5,80.19,3.04,0.064,0.8,2,-8
502,22,69,6,80.27,4.23,0.189,0.7,1,-10
653410,22,71,1,80.64,4.44,0.005,0.4,1,-20
61163,22,71,2,80.74,2.40,0.010,0.3,1,-14
16278,22,71,3,80.21,2.59,0.020,0.8,2,-15
5603,22,71,4,80.79,2.71,0.036,0.2,0,-14
2419,22,71,5,80.46,3.07,0.062,0.5,1,-11
546,22,71,6,79.55,3.91,0.167,1.4,3,-12
863432,23,1,1,80.72,4.00,0.004,0.3,1,-18
94817,23,1,2,80.25,2.40,0.008,0.8,2,-14
24121,23,1,3,80.69,2.25,0.015,0.3,1,-13
8985,23,1,4,80.55,2.60,0.027,0.5,1,-12
2784,23,1,5,80.55,3.01,0.057,0.4,1,-10
829,23,1,6,80.59,4.27,0.148,0.4,1,-10
823721,23,3,1,80.86,4.06,0.004,0.1,0,-21
75607,23,3,2,80.67,2.24,0.008,0.3,1,-14
22066,23,3,3,80.32,2.39,0.016,0.7,1,-16
7523,23,3,4,80.54,2.58,0.030,0.5,1,-14
3215,23,3,5,80.42,3.20,0.056,0.6,1,-12
635,23,3,6,81.06,4.61,0.183,-0.1,0,-15
877460,23,5,1,80.95,3.95,0.004,0.1,0,-19
91563,23,5,2,80.57,2.33,0.008,0.4,1,-13
28334,23,5,3,80.51,2.30,0.014,0.5,1,-13
11225,23,5,4,80.36,2.57,0.024,0.6,1,-12
4185,23,5,5,80.53,2.73,0.042,0.5,1,-8
926,23,5,6,80.21,3.92,0.129,0.8,2,-10
859267,23,7,1,80.70,4.03,0.004,0.3,1,-18
82654,23,7,2,80.26,2.20,0.008,0.7,1,-13
22547,23,7,3,80.39,2.17,0.014,0.6,1,-13
9699,23,7,4,80.47,2.51,0.025,0.5,1,-12
3807,23,7,5,80.20,3.02,0.049,0.8,2,-8
791,23,7,6,80.62,4.24,0.151,0.4,1,-12
866858,23,9,1,80.78,4.01,0.004,0.2,0,-18
93975,23,9,2,80.41,2.22,0.007,0.6,1,-11
26818,23,9,3,80.46,2.30,0.014,0.5,1,-11
10506,23,9,4,80.74,2.54,0.025,0.3,1,-9
4888,23,9,5,80.29,3.09,0.044,0.7,1,-8
934,23,9,6,80.51,3.72,0.122,0.5,1,-9
803830,23,11,1,80.60,3.97,0.004,0.4,1,-20
63416,23,11,2,80.55,2.17,0.009,0.4,1,-14
19759,23,11,3,80.38,2.13,0.015,0.6,1,-14
8372,23,11,4,80.71,2.48,0.027,0.3,1,-14
4417,23,11,5,80.60,2.94,0.044,0.4,1,-11
603,23,11,6,80.38,4.23,0.172,0.6,1,-15
899683,23,13,1,81.07,4.12,0.004,-0.1,0,-19
101790,23,13,2,80.63,2.24,0.007,0.4,1,-12
29488,23,13,3,80.36,2.28,0.013,0.6,1,-13
8496,23,13,4,80.36,2.43,0.026,0.6,1,-12
4505,23,13,5,80.36,2.98,0.044,0.6,1,-10
856,23,13,6,80.55,4.18,0.143,0.5,1,-11
781496,23,15,1,81.14,3.97,0.004,-0.1,0,-21
57170,23,15,2,80.41,2.09,0.009,0.6,1,-15
22044,23,15,3,80.67,2.29,0.015,0.3,1,-15
9899,23,15,4,80.49,2.48,0.025,0.5,1,-15
4076,23,15,5,80.69,3.00,0.047,0.3,1,-13
555,23,15,6,80.41,4.08,0.173,0.6,1,-15
845426,23,17,1,81.13,3.91,0.004,-0.1,0,-18
91097,23,17,2,80.33,2.27,0.008,0.7,1,-12
25471,23,17,3,80.43,2.37,0.015,0.6,1,-13
9191,23,17,4,80.32,2.48,0.026,0.7,1,-11
3680,23,17,5,80.44,2.94,0.048,0.6,1,-9
898,23,17,6,80.51,4.01,0.134,0.5,1,-9
899207,23,19,1,81.00,4.07,0.004,-0.0,0,-20
92738,23,19,2,80.27,2.25,0.007,0.7,1,-14
22385,23,19,3,80.42,2.30,0.015,0.6,1,-14
9013,23,19,4,80.38,2.63,0.028,0.6,1,-14
4112,23,19,5,80.25,2.82,0.044,0.7,1,-10
608,23,19,6,80.07,4.12,0.167,0.9,2,-14
881217,23,21,1,80.78,4.08,0.004,0.2,0,-19
106981,23,21,2,80.47,2.34,0.007,0.5,1,-11
30390,23,21,3,80.22,2.28,0.013,0.8,2,-11
9920,23,21,4,80.34,2.46,0.025,0.7,1,-10
5337,23,21,5,80.49,2.94,0.040,0.5,1,-7
871,23,21,6,80.37,4.10,0.139,0.6,1,-9
807485,23,23,1,81.14,3.94,0.004,-0.1,0,-18
60773,23,23,2,80.51,2.11,0.009,0.5,1,-14
19685,23,23,3,80.61,2.20,0.016,0.4,1,-14
7356,23,23,4,80.61,2.50,0.029,0.4,1,-12
3682,23,23,5,80.57,2.92,0.048,0.4,1,-8
627,23,23,6,80.15,3.98,0.159,0.8,2,-12
913140,23,25,1,81.08,4.04,0.004,-0.1,0,-18
78901,23,25,2,80.39,2.24,0.008,0.6,1,-12
19084,23,25,3,80.36,2.30,0.017,0.6,1,-13
8269,23,25,4,80.61,2.33,0.026,0.4,1,-10
4628,23,25,5,80.44,2.77,0.041,0.6,1,-8
1244,23,25,6,79.94,4.14,0.117,1.1,2,-9
926975,23,27,1,80.53,4.13,0.004,0.5,1,-19
72985,23,27,2,80.65,2.25,0.008,0.3,1,-12
23573,23,27,3,80.31,2.36,0.015,0.7,1,-14
9905,23,27,4,80.66,2.48,0.025,0.3,1,-12
4323,23,27,5,80.40,3.00,0.046,0.6,1,-8
607,23,27,6,80.09,4.65,0.189,0.9,2,-13
866483,23,29,1,80.85,4.06,0.004,0.1,0,-18
67624,23,29,2,80.69,2.24,0.009,0.3,1,-10
20882,23,29,3,80.53,2.30,0.016,0.5,1,-11
11110,23,29,4,80.67,2.65,0.025,0.3,1,-10
4427,23,29,5,80.29,3.00,0.045,0.7,1,-8
1105,23,29,6,80.26,4.15,0.125,0.7,1,-9
815924,23,31,1,80.89,4.12,0.005,0.1,0,-20
81537,23,31,2,80.68,2.22,0.008,0.3,1,-12
24090,23,31,3,80.30,2.33,0.015,0.7,1,-14
8655,23,31,4,80.25,2.43,0.026,0.8,2,-13
3856,23,31,5,80.51,3.20,0.052,0.5,1,-9
511,23,31,6,80.50,4.10,0.182,0.5,1,-13
992594,23,33,1,81.10,4.00,0.004,-0.1,0,-17
85087,23,33,2,80.76,2.31,0.008,0.2,0,-12
26784,23,33,3,80.18,2.29,0.014,0.8,2,-11
14050,23,33,4,80.72,2.78,0.023,0.3,1,-10
4482,23,33,5,80.28,2.89,0.043,0.7,1,-8
927,23,33,6,80.47,4.81,0.158,0.5,1,-10
999496,23,35,1,80.73,4.21,0.004,0.3,1,-20
73027,23,35,2,80.52,2.18,0.008,0.5,1,-14
19912,23,35,3,80.33,2.31,0.016,0.7,1,-13
8697,23,35,4,80.54,2.57,0.028,0.5,1,-13
3761,23,35,5,80.29,3.02,0.049,0.7,1,-12
653,23,35,6,80.15,5.07,0.198,0.8,2,-15
849786,23,37,1,80.73,4.01,0.004,0.3,1,-18
98272,23,37,2,80.33,2.37,0.008,0.7,1,-13
23347,23,37,3,80.77,2.34,0.015,0.2,0,-12
10131,23,37,4,80.39,2.45,0.024,0.6,1,-10
4130,23,37,5,80.35,3.07,0.048,0.7,1,-8
681,23,37,6,80.34,4.77,0.183,0.7,1,-9
873594,23,39,1,80.88,4.15,0.004,0.1,0,-21
85233,23,39,2,80.36,2.18,0.007,0.6,1,-13
31112,23,39,3,80.47,2.33,0.013,0.5,1,-14
9453,23,39,4,80.36,2.63,0.027,0.6,1,-15
4523,23,39,5,80.59,3.26,0.049,0.4,1,-10
729,23,39,6,80.21,4.26,0.158,0.8,2,-15
802879,23,41,1,81.00,4.14,0.005,0.0,0,-21
72744,23,41,2,80.73,2.29,0.008,0.3,1,-12
21029,23,41,3,80.59,2.22,0.015,0.4,1,-13
10690,23,41,4,80.64,2.70,0.026,0.4,1,-12
5660,23,41,5,80.67,3.08,0.041,0.3,1,-8
979,23,41,6,80.60,4.34,0.139,0.4,1,-11
793262,23,43,1,81.15,4.01,0.004,-0.1,0,-20
72326,23,43,2,80.25,2.17,0.008,0.7,1,-14
25244,23,43,3,80.59,2.37,0.015,0.4,1,-14
10432,23,43,4,80.51,2.62,0.026,0.5,1,-14
4139,23,43,5,80.42,2.96,0.046,0.6,1,-11
848,23,43,6,80.13,4.55,0.156,0.9,2,-14
805535,23,45,1,80.73,4.08,0.005,0.3,1,-19
89093,23,45,2,80.73,2.30,0.008,0.3,1,-12
27135,23,45,3,80.64,2.41,0.015,0.4,1,-13
9456,23,45,4,80.76,2.61,0.027,0.2,0,-11
4883,23,45,5,80.73,2.83,0.040,0.3,1,-8
1041,23,45,6,79.97,3.80,0.118,1.0,2,-11
867706,23,47,1,80.84,3.95,0.004,0.2,0,-18
91276,23,47,2,80.10,2.25,0.007,0.9,2,-13
22524,23,47,3,80.61,2.32,0.015,0.4,1,-14
9898,23,47,4,80.26,2.76,0.028,0.7,1,-13
4213,23,47,5,80.37,2.87,0.044,0.6,1,-12
599,23,47,6,80.89,5.42,0.222,0.1,0,-15
881187,23,49,1,80.69,3.95,0.004,0.3,1,-16
98236,23,49,2,80.41,2.46,0.008,0.6,1,-13
20925,23,49,3,80.40,2.36,0.016,0.6,1,-13
10495,23,49,4,80.15,2.63,0.026,0.9,2,-10
4413,23,49,5,80.49,3.11,0.047,0.5,1,-8
527,23,49,6,80.27,4.44,0.194,0.7,1,-10
694124,23,51,1,80.58,4.05,0.005,0.4,1,-19
75977,23,51,2,80.16,2.27,0.008,0.8,2,-12
23197,23,51,3,80.55,2.30,0.015,0.4,1,-13
10142,23,51,4,80.49,2.66,0.026,0.5,1,-13
3653,23,51,5,80.05,2.98,0.049,0.9,2,-9
674,23,51,6,80.14,4.77,0.184,0.9,2,-12
945993,23,53,1,80.70,4.07,0.004,0.3,1,-17
79028,23,53,2,81.63,2.36,0.008,-0.6,-1,-14
26214,23,53,3,81.63,2.38,0.015,-0.6,-1,-14
9809,23,53,4,80.26,2.59,0.026,0.7,1,-11
4631,23,53,5,80.33,2.90,0.043,0.7,1,-8
1004,23,53,6,80.30,3.92,0.124,0.7,1,-10
971867,23,55,1,80.80,4.08,0.004,0.2,0,-18
77811,23,55,2,80.32,2.23,0.008,0.7,1,-13
28902,23,55,3,80.17,2.34,0.014,0.8,2,-12
10763,23,55,4,79.17,2.55,0.025,1.8,4,-13
4459,23,55,5,80.38,3.29,0.049,0.6,1,-11
694,23,55,6,79.03,3.78,0.144,2.0,4,-13
738131,23,57,1,80.56,3.91,0.005,0.4,1,-17
73305,23,57,2,80.02,2.34,0.009,1.0,2,-12
13510,23,57,3,80.14,2.18,0.019,0.9,2,-12
10855,23,57,4,80.15,2.56,0.025,0.9,2,-10
4158,23,57,5,80.23,3.09,0.048,0.8,2,-8
723,23,57,6,80.01,3.94,0.146,1.0,2,-11
829322,23,59,1,80.80,4.03,0.004,0.2,0,-21
99784,23,59,2,80.41,2.23,0.007,0.6,1,-15
27511,23,59,3,80.31,2.29,0.014,0.7,1,-15
10231,23,59,4,80.32,2.55,0.025,0.7,1,-15
4202,23,59,5,80.33,2.88,0.044,0.7,1,-11
468,23,59,6,80.82,5.03,0.233,0.2,0,-17
218517,23,61,1,80.38,3.33,0.007,0.6,1,-20
94846,23,61,2,80.36,2.39,0.008,0.6,1,-13
21350,23,61,3,80.05,2.40,0.016,0.9,2,-14
11172,23,61,4,80.61,2.62,0.025,0.4,1,-12
4944,23,61,5,80.32,3.08,0.044,0.7,1,-11
1078,23,61,6,80.25,4.31,0.131,0.8,2,-10
852437,23,63,1,80.59,4.12,0.004,0.4,1,-20
69649,23,63,2,80.54,2.17,0.008,0.5,1,-13
23069,23,63,3,80.19,2.29,0.015,0.8,2,-13
9686,23,63,4,80.57,2.62,0.027,0.4,1,-13
4433,23,63,5,80.15,3.08,0.046,0.8,2,-11
517,23,63,6,79.86,3.83,0.168,1.1,2,-14
653780,23,65,1,80.81,3.94,0.005,0.2,0,-20
85129,23,65,2,80.19,2.35,0.008,0.8,2,-14
28017,23,65,3,80.25,2.28,0.014,0.8,2,-13
7890,23,65,4,80.40,2.51,0.028,0.6,1,-13
4079,23,65,5,80.20,3.13,0.049,0.8,2,-12
944,23,65,6,80.24,4.56,0.148,0.8,2,-14
752310,23,67,1,80.94,4.08,0.005,0.1,0,-21
47317,23,67,2,80.34,2.03,0.009,0.7,1,-13
20675,23,67,3,80.32,2.37,0.017,0.7,1,-15
8193,23,67,4,80.27,2.56,0.028,0.7,1,-15
3708,23,67,5,80.11,2.96,0.049,0.9,2,-10
650,23,67,6,80.43,4.76,0.187,0.6,1,-16
905376,23,69,1,80.60,4.10,0.004,0.4,1,-20
92043,23,69,2,80.51,2.35,0.008,0.5,1,-13
21582,23,69,3,80.12,2.32,0.016,0.9,2,-14
11259,23,69,4,80.44,2.51,0.024,0.6,1,-12
5371,23,69,5,80.39,2.80,0.038,0.6,1,-10
1009,23,69,6,80.62,4.19,0.132,0.4,1,-10
940641,23,71,1,80.95,4.12,0.004,0.0,0,-21
77706,23,71,2,80.74,2.26,0.008,0.3,1,-16
27181,23,71,3,80.28,2.42,0.015,0.7,1,-17
7476,23,71,4,80.65,2.63,0.030,0.4,1,-15
4573,23,71,5,80.43,3.02,0.045,0.6,1,-13
846,23,71,6,80.54,4.96,0.171,0.5,1,-16
1027578,24,1,1,80.77,3.51,0.003,0.2,0,-18
94754,24,1,2,80.47,1.98,0.006,0.5,1,-14
31827,24,1,3,80.66,2.11,0.012,0.3,1,-14
10071,24,1,4,80.56,2.37,0.024,0.4,1,-13
5720,24,1,5,80.35,2.80,0.037,0.6,1,-9
1109,24,1,6,80.63,3.90,0.117,0.4,1,-11
1105407,24,3,1,80.67,3.62,0.003,0.3,1,-21
121946,24,3,2,80.69,2.00,0.006,0.3,1,-16
37375,24,3,3,80.84,2.12,0.011,0.2,0,-17
12961,24,3,4,80.38,2.47,0.022,0.6,1,-12
5158,24,3,5,80.80,3.12,0.044,0.2,0,-13
1581,24,3,6,80.65,4.14,0.104,0.3,1,-16
1217571,24,5,1,80.73,3.80,0.003,0.3,1,-19
123198,24,5,2,80.46,2.06,0.006,0.5,1,-14
36937,24,5,3,80.75,2.10,0.011,0.3,1,-13
14967,24,5,4,80.47,2.46,0.020,0.5,1,-14
8347,24,5,5,80.69,2.91,0.032,0.3,1,-11
1083,24,5,6,80.55,4.13,0.126,0.5,1,-12
1003942,24,7,1,80.61,3.53,0.004,0.4,1,-19
115182,24,7,2,80.71,2.01,0.006,0.3,1,-14
28396,24,7,3,80.74,2.26,0.013,0.3,1,-15
12195,24,7,4,80.52,2.51,0.023,0.5,1,-12
5513,24,7,5,80.66,3.05,0.041,0.3,1,-9
1398,24,7,6,80.57,4.27,0.114,0.4,1,-11
1114605,24,9,1,80.79,3.59,0.003,0.2,0,-16
110312,24,9,2,80.40,1.98,0.006,0.6,1,-11
39129,24,9,3,80.67,2.19,0.011,0.3,1,-11
13400,24,9,4,80.61,2.51,0.022,0.4,1,-11
8011,24,9,5,80.24,2.78,0.031,0.8,2,-7
1123,24,9,6,80.59,3.94,0.118,0.4,1,-9
1072874,24,11,1,80.97,3.49,0.003,0.0,0,-20
103601,24,11,2,80.59,1.93,0.006,0.4,1,-16
36443,24,11,3,80.36,2.09,0.011,0.6,1,-17
13295,24,11,4,80.53,2.58,0.022,0.5,1,-12
6428,24,11,5,80.46,2.88,0.036,0.5,1,-12
1285,24,11,6,80.84,4.32,0.121,0.2,0,-15
1197400,24,13,1,80.61,3.48,0.003,0.4,1,-17
99042,24,13,2,80.25,2.09,0.007,0.8,2,-15
30160,24,13,3,80.42,2.12,0.012,0.6,1,-14
12158,24,13,4,80.54,2.41,0.022,0.5,1,-13
6306,24,13,5,80.58,2.95,0.037,0.4,1,-10
1379,24,13,6,80.71,4.13,0.111,0.3,1,-11
936309,24,15,1,81.02,3.51,0.004,-0.0,0,-19
120829,24,15,2,80.73,2.07,0.006,0.3,1,-15
38049,24,15,3,80.35,2.10,0.011,0.7,1,-17
12739,24,15,4,80.72,2.49,0.022,0.3,1,-12
6183,24,15,5,80.30,2.97,0.038,0.7,1,-14
1396,24,15,6,80.77,3.83,0.102,0.2,0,-14
1255169,24,17,1,81.14,3.64,0.003,-0.1,0,-18
140936,24,17,2,80.63,2.08,0.006,0.4,1,-14
28356,24,17,3,80.34,2.10,0.012,0.7,1,-15
15357,24,17,4,80.39,2.47,0.020,0.6,1,-14
6871,24,17,5,80.24,2.85,0.034,0.8,2,-9
1130,24,17,6,80.19,3.70,0.110,0.8,2,-9
1085568,24,19,1,80.73,3.50,0.003,0.3,1,-19
132807,24,19,2,80.44,2.04,0.006,0.6,1,-16
29987,24,19,3,80.51,2.07,0.012,0.5,1,-16
15118,24,19,4,80.40,2.44,0.020,0.6,1,-12
4550,24,19,5,80.46,2.84,0.042,0.5,1,-10
1051,24,19,6,80.42,4.44,0.137,0.6,1,-13
1132560,24,21,1,80.99,3.51,0.003,0.0,0,-17
115065,24,21,2,80.46,1.99,0.006,0.5,1,-13
35860,24,21,3,80.20,2.20,0.012,0.8,2,-14
16123,24,21,4,80.43,2.59,0.020,0.6,1,-12
7414,24,21,5,80.57,2.96,0.034,0.4,1,-9
1391,24,21,6,80.06,4.11,0.110,0.9,2,-10
1231137,24,23,1,81.11,3.72,0.003,-0.1,0,-20
77550,24,23,2,80.51,1.91,0.007,0.5,1,-16
31125,24,23,3,80.32,2.11,0.012,0.7,1,-16
11583,24,23,4,80.67,2.35,0.022,0.3,1,-12
5295,24,23,5,80.18,2.87,0.039,0.8,2,-11
950,24,23,6,80.47,4.46,0.145,0.5,1,-14
1084715,24,25,1,80.85,3.59,0.003,0.2,0,-17
106109,24,25,2,80.42,2.06,0.006,0.6,1,-15
30529,24,25,3,80.59,2.14,0.012,0.4,1,-14
12626,24,25,4,80.55,2.34,0.021,0.5,1,-13
8124,24,25,5,80.46,2.96,0.033,0.5,1,-10
1825,24,25,6,80.55,4.34,0.102,0.4,1,-13
1076270,24,27,1,80.64,3.64,0.004,0.4,1,-19
126576,24,27,2,80.34,2.03,0.006,0.7,1,-16
49854,24,27,3,80.53,2.30,0.010,0.5,1,-15
16803,24,27,4,80.71,2.58,0.020,0.3,1,-11
6559,24,27,5,80.57,2.98,0.037,0.4,1,-10
1453,24,27,6,80.19,3.97,0.104,0.8,2,-12
985457,24,29,1,80.80,3.41,0.003,0.2,0,-16
123619,24,29,2,80.68,2.03,0.006,0.3,1,-11
40454,24,29,3,80.48,2.21,0.011,0.5,1,-13
17021,24,29,4,80.71,2.45,0.019,0.3,1,-11
7344,24,29,5,80.65,3.06,0.036,0.3,1,-8
1559,24,29,6,80.95,4.07,0.103,0.1,0,-9
978196,24,31,1,80.63,3.60,0.004,0.4,1,-19
120685,24,31,2,80.17,2.11,0.006,0.8,2,-16
32740,24,31,3,80.70,2.21,0.012,0.3,1,-15
13053,24,31,4,80.30,2.39,0.021,0.7,1,-12
5652,24,31,5,80.71,2.90,0.039,0.3,1,-11
1106,24,31,6,80.47,4.20,0.126,0.5,1,-13
927737,24,33,1,80.66,3.54,0.004,0.3,1,-16
138279,24,33,2,80.28,2.15,0.006,0.7,1,-13
35931,24,33,3,80.56,2.16,0.011,0.4,1,-12
15859,24,33,4,80.61,2.52,0.020,0.4,1,-12
6964,24,33,5,80.50,2.95,0.035,0.5,1,-9
1363,24,33,6,80.57,3.93,0.106,0.4,1,-10
1024499,24,35,1,81.00,3.54,0.003,-0.0,0,-20
154167,24,35,2,80.60,2.06,0.005,0.4,1,-15
40028,24,35,3,80.28,2.15,0.011,0.7,1,-15
12731,24,35,4,80.65,2.61,0.023,0.3,1,-13
6252,24,35,5,80.73,3.05,0.039,0.3,1,-11
1038,24,35,6,80.88,3.92,0.122,0.1,0,-14
927826,24,37,1,80.86,3.41,0.004,0.1,0,-16
137318,24,37,2,80.47,2.05,0.006,0.5,1,-13
30949,24,37,3,80.68,2.11,0.012,0.3,1,-13
16880,24,37,4,80.47,2.41,0.019,0.5,1,-12
7635,24,37,5,80.39,3.13,0.036,0.6,1,-10
1075,24,37,6,80.32,3.55,0.108,0.7,1,-10
1197854,24,39,1,80.90,3.50,0.003,0.1,0,-20
132377,24,39,2,80.27,1.99,0.005,0.7,1,-16
46139,24,39,3,80.31,2.31,0.011,0.7,1,-18
14052,24,39,4,80.63,2.40,0.020,0.4,1,-13
6685,24,39,5,80.49,2.89,0.035,0.5,1,-12
1774,24,39,6,80.16,4.11,0.098,0.8,2,-15
1101848,24,41,1,80.61,3.52,0.003,0.4,1,-17
113468,24,41,2,80.28,2.11,0.006,0.7,1,-15
29541,24,41,3,80.65,2.10,0.012,0.3,1,-13
9233,24,41,4,80.62,2.28,0.024,0.4,1,-13
6787,24,41,5,80.23,2.80,0.034,0.8,2,-9
1059,24,41,6,80.72,3.73,0.115,0.3,1,-11
1042522,24,43,1,81.05,3.62,0.004,-0.0,0,-20
116356,24,43,2,80.25,2.00,0.006,0.8,2,-14
36405,24,43,3,80.67,2.26,0.012,0.3,1,-15
14347,24,43,4,80.37,2.46,0.021,0.6,1,-12
5197,24,43,5,80.63,3.02,0.042,0.4,1,-12
1470,24,43,6,80.48,4.45,0.116,0.5,1,-15
1069280,24,45,1,80.88,3.60,0.003,0.1,0,-18
129655,24,45,2,80.68,2.09,0.006,0.3,1,-13
34067,24,45,3,80.62,2.25,0.012,0.4,1,-14
15436,24,45,4,80.34,2.55,0.021,0.7,1,-13
7151,24,45,5,80.62,2.92,0.035,0.4,1,-10
1631,24,45,6,80.16,3.69,0.091,0.8,2,-12
965568,24,47,1,80.64,3.59,0.004,0.4,1,-18
88216,24,47,2,80.17,1.99,0.007,0.8,2,-14
25753,24,47,3,80.39,2.06,0.013,0.6,1,-14
9979,24,47,4,80.28,2.37,0.024,0.7,1,-12
5600,24,47,5,80.59,3.25,0.043,0.4,1,-9
1134,24,47,6,80.69,4.78,0.142,0.3,1,-13
1020796,24,49,1,80.83,3.56,0.004,0.2,0,-17
128875,24,49,2,80.17,2.13,0.006,0.8,2,-13
28704,24,49,3,80.16,2.09,0.012,0.8,2,-13
13837,24,49,4,80.20,2.50,0.021,0.8,2,-12
6604,24,49,5,80.55,2.89,0.036,0.4,1,-9
1127,24,49,6,80.42,3.60,0.107,0.6,1,-10
1112530,24,51,1,80.88,3.64,0.003,0.1,0,-18
125353,24,51,2,80.04,2.00,0.006,1.0,2,-13
