iEta,iPhi,Depth,CapID,RM,RM fiber,channel,Best DAC setting,Best mean pedestal,Error on best mean pedestal
18,63,5,1,1,6,3,1,8.92,0.2
18,64,5,1,2,4,2,0,8.41,0.19
18,65,5,1,3,6,3,8,9.27,0.21
18,66,5,1,4,4,2,11,9.41,0.21
19,63,1,1,1,7,0,0,9.61,0.22
19,64,1,1,2,2,0,1,9.26,0.21
19,65,1,1,3,7,0,0,9.52,0.21
19,66,1,1,4,2,0,1,9.14,0.21
19,63,2,1,1,1,0,10,9.41,0.21
19,64,2,1,2,8,0,0,9.22,0.21
19,65,2,1,3,1,0,9,8.99,0.2
19,66,2,1,4,8,0,10,9.37,0.21
19,63,3,1,1,3,4,1,9.6,0.22
19,64,3,1,2,6,4,8,9.04,0.2
19,65,3,1,3,3,4,1,8.84,0.2
19,66,3,1,4,6,4,1,8.55,0.19
19,63,4,1,1,7,4,9,9.55,0.21
19,64,4,1,2,2,4,8,9.12,0.21
19,65,4,1,3,7,4,9,9.11,0.2
19,66,4,1,4,2,4,0,9.03,0.2
19,63,5,1,1,5,0,1,8.82,0.2
19,64,5,1,2,1,0,8,9.45,0.21
19,65,5,1,3,5,0,9,8.81,0.2
19,66,5,1,4,1,0,1,8.5,0.19
19,63,6,1,1,8,0,0,9.37,0.21
19,64,6,1,2,1,1,8,8.88,0.2
19,65,6,1,3,8,0,0,9.6,0.22
19,66,6,1,4,1,1,9,8.86,0.2
20,63,1,1,1,7,1,10,9.29,0.21
20,64,1,1,2,2,1,9,8.9,0.2
20,65,1,1,3,7,1,8,9.46,0.21
20,66,1,1,4,2,1,8,8.92,0.2
20,63,2,1,1,8,3,8,8.99,0.2
20,64,2,1,2,1,3,9,9.5,0.21
20,65,2,1,3,8,3,10,8.57,0.19
20,66,2,1,4,1,3,1,9.23,0.21
20,63,3,1,1,1,1,1,8.86,0.2
20,64,3,1,2,8,1,9,9.09,0.2
20,65,3,1,3,1,1,9,8.93,0.2
20,66,3,1,4,8,1,0,9.23,0.21
20,63,4,1,1,8,5,9,9.36,0.21
20,64,4,1,2,1,5,1,8.82,0.2
20,65,4,1,3,8,5,1,8.48,0.19
20,66,4,1,4,1,5,1,9.17,0.21
20,63,5,1,1,5,3,8,8.7,0.2
20,64,5,1,2,3,2,10,9.52,0.21
20,65,5,1,3,5,3,8,8.94,0.2
20,66,5,1,4,3,2,9,8.63,0.19
20,63,6,1,1,5,2,8,9.34,0.21
20,64,6,1,2,3,5,8,8.76,0.2
20,65,6,1,3,5,2,2,9.02,0.2
20,66,6,1,4,3,5,8,8.53,0.19
21,63,1,1,2,2,2,8,8.38,0.19
21,65,1,1,3,7,2,8,8.81,0.2
21,63,2,1,2,1,2,8,9.6,0.22
21,65,2,1,3,8,2,8,9.55,0.21
21,63,3,1,2,8,2,10,9.1,0.2
21,65,3,1,3,1,2,1,9.28,0.21
21,63,4,1,2,1,4,9,9.51,0.21
21,65,4,1,3,8,4,9,9.2,0.21
21,63,5,1,2,6,0,0,8.84,0.2
21,65,5,1,3,5,4,9,9.2,0.21
21,63,6,1,2,3,3,2,9.1,0.2
21,65,6,1,3,5,5,9,9.18,0.21
22,63,1,1,1,7,2,9,8.58,0.19
22,65,1,1,4,2,2,9,9.17,0.21
22,63,2,1,1,8,2,10,9.2,0.21
22,65,2,1,4,1,2,9,9.19,0.21
22,63,3,1,1,1,2,8,9.52,0.21
22,65,3,1,4,8,2,9,9.3,0.21
22,63,4,1,1,8,4,0,9.18,0.21
22,65,4,1,4,1,4,0,8.92,0.2
22,63,5,1,1,5,4,1,8.76,0.2
22,65,5,1,4,6,0,9,8.68,0.2
22,63,6,1,1,5,5,0,9.42,0.21
22,65,6,1,4,3,3,8,9.01,0.2
23,63,1,1,2,2,3,0,8.4,0.19
23,65,1,1,3,7,3,9,9.48,0.21
23,63,2,1,2,8,4,8,8.67,0.2
23,65,2,1,3,1,4,10,9.2,0.21
23,63,3,1,2,8,3,8,8.69,0.2
23,65,3,1,3,1,3,10,9.56,0.21
23,63,4,1,2,3,4,8,9.41,0.21
23,65,4,1,3,8,1,10,8.62,0.19
23,63,5,1,2,6,1,8,9.35,0.21
23,65,5,1,3,3,1,1,9.4,0.21
23,63,6,1,2,3,0,0,8.5,0.19
23,65,6,1,3,3,0,1,8.86,0.2
