nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units]
190,-20,54,6,84.23,6.70,0.486,-3.2,-6
39328,-19,51,1,87.02,5.24,0.026,-6.0,-12
40186,-19,52,1,88.25,5.18,0.026,-7.2,-14
39947,-19,53,1,88.85,5.25,0.026,-7.8,-16
33376,-19,54,1,88.58,5.34,0.029,-7.6,-15
9887,-19,51,2,84.06,3.33,0.034,-3.1,-6
9051,-19,52,2,83.26,3.54,0.037,-2.3,-5
6953,-19,53,2,84.65,3.51,0.042,-3.6,-7
8531,-19,54,2,85.50,3.56,0.039,-4.5,-9
5591,-19,51,3,83.22,3.30,0.044,-2.2,-4
5594,-19,52,3,83.81,3.17,0.042,-2.8,-6
5452,-19,53,3,84.81,3.21,0.043,-3.8,-8
6458,-19,54,3,85.41,3.18,0.040,-4.4,-9
2311,-19,51,4,83.59,3.40,0.071,-2.6,-5
1884,-19,52,4,84.03,3.40,0.078,-3.0,-6
1645,-19,53,4,84.49,3.13,0.077,-3.5,-7
1668,-19,54,4,83.98,3.04,0.075,-3.0,-6
774,-19,51,5,80.76,3.37,0.121,0.2,0
783,-19,52,5,81.48,3.76,0.134,-0.5,-1
712,-19,53,5,82.08,3.74,0.140,-1.1,-2
643,-19,54,5,81.77,3.42,0.135,-0.8,-2
164,-19,51,6,81.30,5.64,0.440,-0.3,0
198,-19,52,6,83.11,6.35,0.452,-2.1,-4
153,-19,53,6,84.60,6.01,0.486,-3.6,-7
143,-19,54,6,84.52,6.83,0.571,-3.5,-7
18175,-18,51,2,84.75,4.29,0.032,-3.8,-8
15178,-18,52,2,84.29,4.16,0.034,-3.3,-7
12612,-18,53,2,84.99,4.44,0.040,-4.0,-8
10024,-18,54,2,86.51,4.57,0.046,-5.5,-11
9474,-18,51,3,83.95,3.51,0.036,-2.9,-6
7659,-18,52,3,82.75,3.21,0.037,-1.7,-3
6351,-18,53,3,83.63,3.38,0.042,-2.6,-5
6355,-18,54,3,84.51,3.62,0.045,-3.5,-7
1668,-18,51,4,82.38,3.50,0.086,-1.4,-3
1302,-18,52,4,82.83,3.84,0.106,-1.8,-4
1181,-18,53,4,84.23,3.61,0.105,-3.2,-6
1045,-18,54,4,83.86,4.25,0.131,-2.9,-6
666,-18,51,5,82.13,3.77,0.146,-1.1,-2
617,-18,52,5,82.24,4.05,0.163,-1.2,-2
490,-18,53,5,82.56,3.67,0.166,-1.6,-3
488,-18,54,5,84.19,4.48,0.203,-3.2,-6
9243,-17,51,2,86.15,4.36,0.045,-5.2,-10
9184,-17,52,2,84.70,4.35,0.045,-3.7,-7
11377,-17,53,2,86.46,4.30,0.040,-5.5,-11
11969,-17,54,2,86.70,4.60,0.042,-5.7,-11
1517,-17,51,3,83.51,4.08,0.105,-2.5,-5
1819,-17,52,3,83.30,4.01,0.094,-2.3,-5
1322,-17,53,3,85.17,4.14,0.114,-4.2,-8
1016,-17,54,3,83.78,4.62,0.145,-2.8,-6
1932,-16,51,4,85.61,5.01,0.114,-4.6,-9
2049,-16,52,4,84.83,4.98,0.110,-3.8,-8
3127,-16,53,4,87.17,5.32,0.095,-6.2,-12
2118,-16,54,4,86.44,4.99,0.108,-5.4,-11
2373,16,51,4,87.88,4.91,0.101,-6.9,-14
3476,16,52,4,87.85,5.34,0.091,-6.9,-14
2466,16,53,4,87.06,5.12,0.103,-6.1,-12
2288,16,54,4,88.72,4.84,0.101,-7.7,-15
9897,17,51,2,86.67,4.39,0.044,-5.7,-11
14114,17,52,2,87.21,4.56,0.038,-6.2,-12
9646,17,53,2,86.43,4.31,0.044,-5.4,-11
8762,17,54,2,87.94,4.20,0.045,-6.9,-14
1062,17,51,3,84.49,4.27,0.131,-3.5,-7
1404,17,52,3,85.16,3.81,0.102,-4.2,-8
1732,17,53,3,84.98,3.97,0.095,-4.0,-8
1333,17,54,3,84.92,4.11,0.113,-3.9,-8
12877,18,51,2,86.31,4.21,0.037,-5.3,-11
16034,18,52,2,85.96,4.38,0.035,-5.0,-10
17803,18,53,2,86.47,4.53,0.034,-5.5,-11
12034,18,54,2,87.76,4.33,0.039,-6.8,-14
7004,18,51,3,84.85,3.43,0.041,-3.8,-8
7119,18,52,3,84.58,3.43,0.041,-3.6,-7
6987,18,53,3,83.85,3.39,0.041,-2.9,-6
7227,18,54,3,84.55,3.64,0.043,-3.5,-7
950,18,51,4,83.68,2.99,0.097,-2.7,-5
1485,18,52,4,84.30,3.23,0.084,-3.3,-7
1630,18,53,4,84.38,3.32,0.082,-3.4,-7
1163,18,54,4,84.01,3.46,0.101,-3.0,-6
504,18,51,5,84.25,3.83,0.170,-3.3,-7
533,18,52,5,82.82,4.01,0.174,-1.8,-4
834,18,53,5,84.47,4.42,0.153,-3.5,-7
526,18,54,5,83.47,3.97,0.173,-2.5,-5
47124,19,51,1,88.88,5.32,0.025,-7.9,-16
36868,19,52,1,89.40,5.29,0.028,-8.4,-17
42013,19,53,1,88.94,5.22,0.025,-7.9,-16
38350,19,54,1,88.56,5.31,0.027,-7.6,-15
8056,19,51,2,85.56,3.37,0.038,-4.6,-9
9007,19,52,2,84.96,3.28,0.035,-4.0,-8
8891,19,53,2,85.28,3.32,0.035,-4.3,-9
10064,19,54,2,86.52,3.37,0.034,-5.5,-11
5437,19,51,3,86.00,3.39,0.046,-5.0,-10
5923,19,52,3,85.54,3.25,0.042,-4.5,-9
6221,19,53,3,84.39,3.50,0.044,-3.4,-7
6524,19,54,3,85.29,3.18,0.039,-4.3,-9
1733,19,51,4,84.60,3.15,0.076,-3.6,-7
1751,19,52,4,84.53,3.68,0.088,-3.5,-7
2288,19,53,4,84.70,3.04,0.064,-3.7,-7
1868,19,54,4,83.99,3.26,0.075,-3.0,-6
583,19,51,5,82.99,4.07,0.169,-2.0,-4
779,19,52,5,83.74,4.12,0.148,-2.7,-5
991,19,53,5,83.27,3.58,0.114,-2.3,-5
699,19,54,5,81.68,3.59,0.136,-0.7,-1
136,19,51,6,85.50,7.77,0.666,-4.5,-9
110,19,52,6,86.82,8.13,0.775,-5.8,-12
154,19,53,6,82.98,5.44,0.439,-2.0,-4
128,19,54,6,82.19,4.43,0.391,-1.2,-2
58369,20,51,1,88.69,4.93,0.020,-7.7,-15
42039,20,52,1,89.42,5.01,0.024,-8.4,-17
55252,20,53,1,88.00,4.74,0.020,-7.0,-14
48670,20,54,1,88.04,4.99,0.023,-7.0,-14
10442,20,51,2,85.86,3.16,0.031,-4.9,-10
13463,20,52,2,86.57,3.25,0.028,-5.6,-11
10409,20,53,2,85.29,3.25,0.032,-4.3,-9
10935,20,54,2,85.71,3.19,0.031,-4.7,-9
6147,20,51,3,85.15,2.97,0.038,-4.1,-8
7231,20,52,3,85.40,2.99,0.035,-4.4,-9
8476,20,53,3,84.92,2.92,0.032,-3.9,-8
8293,20,54,3,85.97,3.07,0.034,-5.0,-10
1997,20,51,4,84.28,3.08,0.069,-3.3,-7
2661,20,52,4,85.09,3.28,0.064,-4.1,-8
2375,20,53,4,84.77,2.83,0.058,-3.8,-8
2409,20,54,4,84.40,3.22,0.066,-3.4,-7
859,20,51,5,83.62,3.44,0.118,-2.6,-5
890,20,52,5,83.83,3.71,0.124,-2.8,-6
1259,20,53,5,83.93,3.68,0.104,-2.9,-6
928,20,54,5,82.87,3.01,0.099,-1.9,-4
178,20,51,6,86.15,6.57,0.493,-5.1,-10
142,20,52,6,86.86,7.12,0.597,-5.9,-12
186,20,53,6,83.76,5.31,0.389,-2.8,-6
211,20,54,6,83.57,4.36,0.300,-2.6,-5
92632,21,51,1,90.13,4.42,0.015,-9.1,-18
111886,21,53,1,89.93,4.45,0.013,-8.9,-18
29976,21,51,2,87.19,2.83,0.016,-6.2,-12
21800,21,53,2,86.30,2.72,0.018,-5.3,-11
14257,21,51,3,86.64,2.63,0.022,-5.6,-11
15689,21,53,3,86.61,2.82,0.023,-5.6,-11
5276,21,51,4,87.50,2.99,0.041,-6.5,-13
5164,21,53,4,86.13,2.78,0.039,-5.1,-10
1389,21,51,5,85.22,3.31,0.089,-4.2,-8
2247,21,53,5,86.02,3.43,0.072,-5.0,-10
331,21,51,6,88.80,5.96,0.328,-7.8,-16
432,21,53,6,84.79,4.19,0.202,-3.8,-8
146452,22,51,1,89.89,4.07,0.011,-8.9,-18
131172,22,53,1,89.79,4.11,0.011,-8.8,-18
27301,22,51,2,87.23,2.47,0.015,-6.2,-12
34143,22,53,2,86.74,2.62,0.014,-5.7,-11
19698,22,51,3,87.95,2.61,0.019,-7.0,-14
26767,22,53,3,88.88,2.55,0.016,-7.9,-16
4320,22,51,4,86.72,2.76,0.042,-5.7,-11
8812,22,53,4,86.50,2.83,0.030,-5.5,-11
2406,22,51,5,85.96,2.92,0.059,-5.0,-10
3105,22,53,5,85.30,3.16,0.057,-4.3,-9
577,22,51,6,87.95,5.48,0.228,-7.0,-14
572,22,53,6,85.68,4.21,0.176,-4.7,-9
147980,23,51,1,90.94,3.67,0.010,-9.9,-20
205602,23,53,1,89.90,3.54,0.008,-8.9,-18
47583,23,51,2,87.78,2.30,0.011,-6.8,-14
49296,23,53,2,87.72,2.38,0.011,-6.7,-13
29858,23,51,3,88.19,2.36,0.014,-7.2,-14
31275,23,53,3,87.64,2.32,0.013,-6.6,-13
11476,23,51,4,88.13,2.74,0.026,-7.1,-14
11326,23,53,4,86.86,2.76,0.026,-5.9,-12
3850,23,51,5,86.35,3.26,0.053,-5.3,-11
5161,23,53,5,85.47,3.06,0.043,-4.5,-9
780,23,51,6,87.98,4.31,0.154,-7.0,-14
1184,23,53,6,86.32,4.09,0.119,-5.3,-11
254142,24,51,1,90.14,3.26,0.006,-9.1,-18
239794,24,53,1,89.33,3.17,0.006,-8.3,-17
72831,24,51,2,88.27,2.17,0.008,-7.3,-15
80753,24,53,2,89.27,2.11,0.007,-8.3,-17
36317,24,51,3,88.48,2.16,0.011,-7.5,-15
38738,24,53,3,88.96,2.11,0.011,-8.0,-16
12993,24,51,4,86.10,2.66,0.023,-5.1,-10
18398,24,53,4,88.06,2.67,0.020,-7.1,-14
6279,24,51,5,86.64,3.14,0.040,-5.6,-11
6566,24,53,5,85.94,3.06,0.038,-4.9,-10
1622,24,51,6,87.39,4.09,0.102,-6.4,-13
1609,24,53,6,86.42,4.18,0.104,-5.4,-11
264654,25,51,1,90.24,2.75,0.005,-9.2,-18
369545,25,53,1,89.62,2.74,0.005,-8.6,-17
91894,25,51,2,87.94,1.83,0.006,-6.9,-14
116970,25,53,2,87.95,2.02,0.006,-7.0,-14
62393,25,51,3,88.63,2.10,0.008,-7.6,-15
76922,25,53,3,87.49,2.14,0.008,-6.5,-13
30961,25,51,4,87.94,2.51,0.014,-6.9,-14
33795,25,53,4,87.61,2.51,0.014,-6.6,-13
9546,25,51,5,87.91,3.16,0.032,-6.9,-14
13257,25,53,5,85.98,2.95,0.026,-5.0,-10
2760,25,51,6,89.58,4.07,0.077,-8.6,-17
3669,25,53,6,88.57,3.95,0.065,-7.6,-15
546636,26,51,1,89.59,2.20,0.003,-8.6,-17
447083,26,53,1,89.43,2.46,0.004,-8.4,-17
100208,26,51,2,89.35,1.77,0.006,-8.3,-17
67351,26,53,2,89.02,1.60,0.006,-8.0,-16
84438,26,51,3,88.32,1.84,0.006,-7.3,-15
82371,26,53,3,87.91,1.80,0.006,-6.9,-14
49094,26,51,4,88.37,2.10,0.009,-7.4,-15
68722,26,53,4,87.68,2.02,0.008,-6.7,-13
41295,26,51,5,87.84,2.48,0.012,-6.8,-14
46684,26,53,5,88.37,2.50,0.012,-7.4,-15
24083,26,51,6,87.57,3.17,0.020,-6.6,-13
24775,26,53,6,87.46,3.06,0.019,-6.5,-13
5742,26,51,7,89.47,4.14,0.055,-8.5,-17
6658,26,53,7,88.74,3.95,0.048,-7.7,-15
340860,27,51,1,88.59,1.97,0.003,-7.6,-15
430318,27,53,1,88.83,2.25,0.003,-7.8,-16
90473,27,51,2,88.61,1.62,0.005,-7.6,-15
109720,27,53,2,87.58,1.65,0.005,-6.6,-13
104110,27,51,3,87.65,1.76,0.005,-6.6,-13
82723,27,53,3,86.93,1.73,0.006,-5.9,-12
61284,27,51,4,88.83,2.15,0.009,-7.8,-16
72479,27,53,4,88.12,2.01,0.007,-7.1,-14
71263,27,51,5,88.27,2.62,0.010,-7.3,-15
56735,27,53,5,87.12,2.47,0.010,-6.1,-12
33735,27,51,6,87.70,3.26,0.018,-6.7,-13
28975,27,53,6,86.88,3.08,0.018,-5.9,-12
10515,27,51,7,89.97,3.89,0.038,-9.0,-18
9711,27,53,7,87.53,3.84,0.039,-6.5,-13
623127,28,51,1,89.13,1.57,0.002,-8.1,-16
520134,28,53,1,90.54,1.79,0.002,-9.5,-19
21090,28,51,2,93.24,2.96,0.020,-12.2,-24
173046,28,53,2,88.62,1.35,0.003,-7.6,-15
96832,28,51,3,89.15,2.19,0.007,-8.1,-16
179857,28,53,3,87.41,1.52,0.004,-6.4,-13
148167,28,51,4,88.91,1.86,0.005,-7.9,-16
283839,28,53,4,89.82,2.04,0.004,-8.8,-18
312300,28,51,5,88.75,2.36,0.004,-7.7,-15
460401,28,53,5,88.49,2.11,0.003,-7.5,-15
434674,28,51,6,88.65,2.64,0.004,-7.7,-15
364762,28,53,6,88.96,2.63,0.004,-8.0,-16
213320,28,51,7,89.38,3.70,0.008,-8.4,-17
178394,28,53,7,88.56,3.13,0.007,-7.6,-15
197574,29,51,1,88.23,1.52,0.003,-7.2,-14
103908,29,53,1,89.90,1.96,0.006,-8.9,-18
2083,29,51,2,92.44,2.56,0.056,-11.4,-23
35929,29,53,2,89.21,1.67,0.009,-8.2,-16
30484,29,51,3,89.01,2.15,0.012,-8.0,-16
62585,29,53,3,88.05,2.18,0.009,-7.1,-14
1040,-29,55,1,86.12,1.59,0.049,-5.1,-10
112328,-29,57,1,87.65,1.44,0.004,-6.7,-13
2289,-29,55,2,92.19,3.01,0.063,-11.2,-22
16215,-29,57,2,88.43,1.91,0.015,-7.4,-15
2319,-29,55,3,90.69,2.34,0.049,-9.7,-19
96565,-29,57,3,88.71,2.16,0.007,-7.7,-15
356355,-28,55,1,88.56,1.86,0.003,-7.6,-15
312972,-28,57,1,88.76,1.51,0.003,-7.8,-16
11476,-28,55,2,92.61,2.65,0.025,-11.6,-23
65937,-28,57,2,89.13,2.43,0.009,-8.1,-16
23190,-28,55,3,92.32,3.14,0.021,-11.3,-23
212852,-28,57,3,87.72,1.70,0.004,-6.7,-13
145593,-28,55,4,88.63,1.95,0.005,-7.6,-15
115567,-28,57,4,88.34,1.91,0.006,-7.3,-15
77112,-28,55,5,88.36,2.06,0.007,-7.4,-15
249776,-28,57,5,88.13,2.18,0.004,-7.1,-14
137478,-28,55,6,88.09,2.58,0.007,-7.1,-14
358478,-28,57,6,87.77,2.53,0.004,-6.8,-14
200580,-28,55,7,87.92,3.23,0.007,-6.9,-14
239684,-28,57,7,89.65,3.89,0.008,-8.6,-17
327873,-27,55,1,87.63,2.28,0.004,-6.6,-13
384227,-27,57,1,88.73,2.07,0.003,-7.7,-15
59174,-27,55,2,86.51,1.50,0.006,-5.5,-11
86182,-27,57,2,87.50,1.44,0.005,-6.5,-13
37583,-27,55,3,86.56,1.50,0.008,-5.6,-11
103415,-27,57,3,87.81,1.88,0.006,-6.8,-14
52958,-27,55,4,87.26,2.01,0.009,-6.3,-13
26945,-27,57,4,88.11,1.95,0.012,-7.1,-14
21467,-27,55,5,87.31,2.29,0.016,-6.3,-13
60273,-27,57,5,87.23,2.57,0.010,-6.2,-12
22694,-27,55,6,86.75,3.11,0.021,-5.8,-12
24025,-27,57,6,87.38,3.30,0.021,-6.4,-13
12009,-27,55,7,87.75,4.01,0.037,-6.7,-13
11383,-27,57,7,88.97,4.19,0.039,-8.0,-16
341821,-26,55,1,88.76,2.45,0.004,-7.8,-16
299692,-26,57,1,89.49,2.41,0.004,-8.5,-17
82972,-26,55,2,87.14,1.60,0.006,-6.1,-12
106273,-26,57,2,88.19,1.69,0.005,-7.2,-14
79203,-26,55,3,86.73,1.77,0.006,-5.7,-11
79056,-26,57,3,87.78,1.79,0.006,-6.8,-14
67169,-26,55,4,87.27,2.08,0.008,-6.3,-13
48201,-26,57,4,87.99,2.05,0.009,-7.0,-14
49231,-26,55,5,87.48,2.45,0.011,-6.5,-13
45312,-26,57,5,87.04,2.44,0.011,-6.0,-12
26216,-26,55,6,85.96,3.01,0.019,-5.0,-10
25640,-26,57,6,87.59,3.19,0.020,-6.6,-13
5472,-26,55,7,87.72,4.05,0.055,-6.7,-13
6074,-26,57,7,89.30,4.26,0.055,-8.3,-17
368914,-25,55,1,88.49,2.68,0.004,-7.5,-15
317670,-25,57,1,88.99,2.61,0.005,-8.0,-16
79600,-25,55,2,87.25,1.95,0.007,-6.2,-12
100269,-25,57,2,87.56,1.87,0.006,-6.6,-13
71420,-25,55,3,87.04,2.11,0.008,-6.0,-12
58138,-25,57,3,87.70,2.16,0.009,-6.7,-13
29863,-25,55,4,86.83,2.47,0.014,-5.8,-12
25310,-25,57,4,87.59,2.55,0.016,-6.6,-13
14702,-25,55,5,85.05,2.99,0.025,-4.1,-8
11605,-25,57,5,86.42,3.14,0.029,-5.4,-11
3664,-25,55,6,87.99,4.23,0.070,-7.0,-14
2488,-25,57,6,88.78,4.14,0.083,-7.8,-16
249750,-24,55,1,88.74,3.12,0.006,-7.7,-15
177566,-24,57,1,89.91,3.23,0.008,-8.9,-18
50608,-24,55,2,86.80,2.05,0.009,-5.8,-12
72287,-24,57,2,88.05,2.06,0.008,-7.1,-14
49530,-24,55,3,87.65,2.34,0.011,-6.7,-13
47806,-24,57,3,88.62,2.36,0.011,-7.6,-15
19010,-24,55,4,86.51,2.62,0.019,-5.5,-11
14499,-24,57,4,85.94,2.51,0.021,-4.9,-10
8985,-24,55,5,85.69,3.02,0.032,-4.7,-9
7686,-24,57,5,85.40,3.10,0.035,-4.4,-9
1901,-24,55,6,85.71,3.86,0.089,-4.7,-9
1605,-24,57,6,88.36,4.49,0.112,-7.4,-15
173720,-23,55,1,89.31,3.63,0.009,-8.3,-17
163528,-23,57,1,90.34,3.69,0.009,-9.3,-19
37079,-23,55,2,86.59,2.38,0.012,-5.6,-11
56978,-23,57,2,87.28,2.36,0.010,-6.3,-13
27972,-23,55,3,86.65,2.44,0.015,-5.7,-11
27396,-23,57,3,87.76,2.38,0.014,-6.8,-14
11853,-23,55,4,85.59,2.81,0.026,-4.6,-9
9363,-23,57,4,87.15,2.79,0.029,-6.1,-12
4186,-23,55,5,84.21,3.20,0.050,-3.2,-6
4626,-23,57,5,84.99,3.06,0.045,-4.0,-8
1212,-23,55,6,85.66,4.32,0.124,-4.7,-9
793,-23,57,6,87.53,4.42,0.157,-6.5,-13
117170,-22,55,1,89.03,4.03,0.012,-8.0,-16
109685,-22,57,1,89.83,4.07,0.012,-8.8,-18
26104,-22,55,2,85.87,2.57,0.016,-4.9,-10
34862,-22,57,2,86.43,2.64,0.014,-5.4,-11
22793,-22,55,3,86.14,2.63,0.017,-5.1,-10
22387,-22,57,3,87.36,2.61,0.017,-6.4,-13
7142,-22,55,4,85.51,2.68,0.032,-4.5,-9
6470,-22,57,4,86.29,2.71,0.034,-5.3,-11
3499,-22,55,5,84.67,3.12,0.053,-3.7,-7
2951,-22,57,5,85.83,3.17,0.058,-4.8,-10
553,-22,55,6,85.08,4.43,0.188,-4.1,-8
626,-22,57,6,87.82,5.66,0.226,-6.8,-14
114519,-21,55,1,88.79,4.39,0.013,-7.8,-16
98962,-21,57,1,89.34,4.46,0.014,-8.3,-17
22499,-21,55,2,86.12,2.79,0.019,-5.1,-10
26584,-21,57,2,87.14,2.83,0.017,-6.1,-12
14931,-21,55,3,86.36,2.75,0.022,-5.4,-11
13432,-21,57,3,86.05,2.64,0.023,-5.0,-10
6296,-21,55,4,86.26,2.94,0.037,-5.3,-11
6182,-21,57,4,87.34,2.95,0.038,-6.3,-13
1925,-21,55,5,84.87,3.00,0.068,-3.9,-8
2214,-21,57,5,83.80,3.02,0.064,-2.8,-6
340,-21,55,6,85.03,4.98,0.270,-4.0,-8
269,-21,57,6,87.24,5.08,0.310,-6.2,-12
45126,-20,55,1,87.13,4.76,0.022,-6.1,-12
48108,-20,56,1,87.15,4.86,0.022,-6.2,-12
45040,-20,57,1,87.96,4.84,0.023,-7.0,-14
38874,-20,58,1,89.09,5.07,0.026,-8.1,-16
10415,-20,55,2,85.24,3.37,0.033,-4.2,-8
8796,-20,56,2,84.67,3.18,0.034,-3.7,-7
13858,-20,57,2,85.88,3.36,0.029,-4.9,-10
11377,-20,58,2,85.37,3.18,0.030,-4.4,-9
8543,-20,55,3,83.78,2.96,0.032,-2.8,-6
5869,-20,56,3,84.26,2.94,0.038,-3.3,-7
6980,-20,57,3,84.67,3.01,0.036,-3.7,-7
7805,-20,58,3,85.09,2.99,0.034,-4.1,-8
3406,-20,55,4,83.95,3.19,0.055,-2.9,-6
3056,-20,56,4,84.00,3.23,0.058,-3.0,-6
3161,-20,57,4,84.78,3.22,0.057,-3.8,-8
2599,-20,58,4,84.03,3.05,0.060,-3.0,-6
1146,-20,55,5,81.34,3.16,0.093,-0.3,-1
934,-20,56,5,83.57,3.18,0.104,-2.6,-5
1009,-20,57,5,82.93,3.51,0.110,-1.9,-4
836,-20,58,5,84.19,3.26,0.113,-3.2,-6
184,-20,55,6,82.34,4.69,0.346,-1.3,-3
185,-20,56,6,83.75,6.07,0.446,-2.7,-5
148,-20,57,6,86.28,6.70,0.550,-5.3,-11
191,-20,58,6,86.16,7.09,0.513,-5.2,-10
40201,-19,55,1,88.10,5.41,0.027,-7.1,-14
40812,-19,56,1,88.03,5.24,0.026,-7.0,-14
39107,-19,57,1,88.99,5.25,0.027,-8.0,-16
33277,-19,58,1,88.61,5.41,0.030,-7.6,-15
6904,-19,55,2,84.63,3.38,0.041,-3.6,-7
6586,-19,56,2,83.69,3.36,0.041,-2.7,-5
9013,-19,57,2,85.15,3.40,0.036,-4.2,-8
10426,-19,58,2,85.51,3.42,0.033,-4.5,-9
5315,-19,55,3,84.22,3.16,0.043,-3.2,-6
6211,-19,56,3,84.07,3.38,0.043,-3.1,-6
5450,-19,57,3,84.38,3.12,0.042,-3.4,-7
6186,-19,58,3,84.79,3.25,0.041,-3.8,-8
2375,-19,55,4,83.81,3.28,0.067,-2.8,-6
2298,-19,56,4,83.41,3.13,0.065,-2.4,-5
1625,-19,57,4,84.17,3.30,0.082,-3.2,-6
1231,-19,58,4,83.91,3.07,0.087,-2.9,-6
846,-19,55,5,81.20,3.28,0.113,-0.2,0
707,-19,56,5,81.82,2.94,0.110,-0.8,-2
857,-19,57,5,82.32,3.52,0.120,-1.3,-3
520,-19,58,5,81.97,4.12,0.181,-1.0,-2
146,-19,55,6,81.32,5.22,0.432,-0.3,0
183,-19,56,6,82.02,4.39,0.325,-1.0,-2
141,-19,57,6,84.59,6.53,0.550,-3.6,-7
121,-19,58,6,85.41,8.28,0.753,-4.4,-9
10069,-18,55,2,85.23,4.31,0.043,-4.2,-8
8678,-18,56,2,85.28,4.17,0.045,-4.3,-9
14152,-18,57,2,85.88,4.22,0.036,-4.9,-10
13610,-18,58,2,86.04,4.21,0.036,-5.0,-10
6596,-18,55,3,83.22,3.48,0.043,-2.2,-4
6141,-18,56,3,82.86,3.41,0.044,-1.9,-4
7407,-18,57,3,83.81,3.30,0.038,-2.8,-6
7646,-18,58,3,83.80,3.32,0.038,-2.8,-6
1121,-18,55,4,82.33,3.47,0.104,-1.3,-3
1090,-18,56,4,83.46,3.32,0.100,-2.5,-5
1281,-18,57,4,83.28,3.20,0.089,-2.3,-5
1180,-18,58,4,83.81,3.76,0.109,-2.8,-6
488,-18,55,5,81.74,3.96,0.179,-0.7,-1
641,-18,56,5,82.54,3.94,0.156,-1.5,-3
554,-18,57,5,83.17,3.76,0.160,-2.2,-4
561,-18,58,5,83.08,3.67,0.155,-2.1,-4
6381,-17,55,2,85.85,4.28,0.054,-4.8,-10
7069,-17,56,2,84.19,4.03,0.048,-3.2,-6
10494,-17,57,2,86.58,4.29,0.042,-5.6,-11
10068,-17,58,2,87.13,4.50,0.045,-6.1,-12
1265,-17,55,3,83.90,4.61,0.130,-2.9,-6
1797,-17,56,3,83.68,3.98,0.094,-2.7,-5
1228,-17,57,3,85.04,4.30,0.123,-4.0,-8
1132,-17,58,3,83.34,3.83,0.114,-2.3,-5
1924,-16,55,4,86.10,4.98,0.113,-5.1,-10
2248,-16,56,4,85.10,4.88,0.103,-4.1,-8
2766,-16,57,4,87.23,5.12,0.097,-6.2,-12
2988,-16,58,4,88.06,5.20,0.095,-7.1,-14
2844,16,55,4,88.87,5.03,0.094,-7.9,-16
3461,16,56,4,88.07,5.55,0.094,-7.1,-14
1683,16,57,4,86.89,5.40,0.132,-5.9,-12
1814,16,58,4,88.02,5.20,0.122,-7.0,-14
11465,17,55,2,87.83,4.44,0.041,-6.8,-14
13908,17,56,2,87.77,4.51,0.038,-6.8,-14
9730,17,57,2,86.86,4.42,0.045,-5.9,-12
220721,17,58,2,90.82,3.13,0.007,-9.8,-20
1147,17,55,3,84.66,3.99,0.118,-3.7,-7
1324,17,56,3,87.05,4.33,0.119,-6.1,-12
1325,17,57,3,83.52,4.15,0.114,-2.5,-5
1455,17,58,3,84.38,4.31,0.113,-3.4,-7
10930,18,55,2,86.90,4.41,0.042,-5.9,-12
13735,18,56,2,86.75,4.36,0.037,-5.8,-12
14798,18,57,2,85.80,4.24,0.035,-4.8,-10
82179,18,58,2,88.81,3.73,0.013,-7.8,-16
6731,18,55,3,85.36,3.41,0.042,-4.4,-9
6670,18,56,3,86.48,3.54,0.043,-5.5,-11
6739,18,57,3,83.89,3.37,0.041,-2.9,-6
7554,18,58,3,84.61,3.34,0.038,-3.6,-7
1117,18,55,4,85.47,3.65,0.109,-4.5,-9
1366,18,56,4,86.47,3.48,0.094,-5.5,-11
942,18,57,4,84.70,3.69,0.120,-3.7,-7
1671,18,58,4,83.78,3.34,0.082,-2.8,-6
573,18,55,5,83.65,3.90,0.163,-2.6,-5
612,18,56,5,85.65,3.96,0.160,-4.6,-9
617,18,57,5,83.72,3.78,0.152,-2.7,-5
784,18,58,5,82.75,3.63,0.129,-1.7,-3
41207,19,55,1,89.51,5.34,0.026,-8.5,-17
40959,19,56,1,89.62,5.30,0.026,-8.6,-17
39702,19,57,1,88.78,5.08,0.026,-7.8,-16
43621,19,58,1,88.41,4.73,0.023,-7.4,-15
8620,19,55,2,86.61,3.35,0.036,-5.6,-11
9192,19,56,2,85.18,3.41,0.036,-4.2,-8
8073,19,57,2,85.44,3.39,0.038,-4.4,-9
7807,19,58,2,84.87,3.55,0.040,-3.9,-8
5827,19,55,3,85.85,3.40,0.045,-4.8,-10
5745,19,56,3,86.03,3.27,0.043,-5.0,-10
5443,19,57,3,84.92,3.07,0.042,-3.9,-8
5381,19,58,3,85.38,3.26,0.044,-4.4,-9
1781,19,55,4,84.74,3.89,0.092,-3.7,-7
1316,19,56,4,84.54,3.43,0.094,-3.5,-7
2436,19,57,4,84.62,3.47,0.070,-3.6,-7
1977,19,58,4,83.71,3.28,0.074,-2.7,-5
633,19,55,5,83.58,3.47,0.138,-2.6,-5
731,19,56,5,83.87,3.59,0.133,-2.9,-6
831,19,57,5,82.54,3.19,0.111,-1.5,-3
700,19,58,5,82.68,3.51,0.133,-1.7,-3
124,19,55,6,85.36,7.66,0.688,-4.4,-9
122,19,56,6,86.34,6.19,0.561,-5.3,-11
144,19,57,6,84.07,5.23,0.436,-3.1,-6
139,19,58,6,83.24,5.95,0.505,-2.2,-4
55528,20,55,1,89.53,4.89,0.021,-8.5,-17
48070,20,56,1,88.87,4.96,0.023,-7.9,-16
